index,title,awards,year,is_winner,channel
52,the good wife,Writing for a Drama Series,2016,FALSE,CBS
53,mr. robot,Writing for a Drama Series,2016,FALSE,USA
54,unreal,Writing for a Drama Series,2016,FALSE,Lifetime
55,documentary now,Variety Sketch Series,2016,FALSE,IFC
56,drunk history,Variety Sketch Series,2016,FALSE,Comedy Central
57,inside amy schumer,Variety Sketch Series,2016,FALSE,Comedy Central
58,key & peele,Variety Sketch Series,2016,TRUE,Comedy Central
59,portlandia,Variety Sketch Series,2016,FALSE,IFC
60,saturday night live,Variety Sketch Series,2016,FALSE,NBC
61,58th grammy awards,Directing for a Variety Special,2016,FALSE,CBS
62,lemonade,Directing for a Variety Special,2016,FALSE,HBO
63,grease: live!,Directing for a Variety Special,2016,TRUE,Fox
64,adele live in new york city,Directing for a Variety Special,2016,FALSE,NBC
65,amy schumer: live at the apollo,Directing for a Variety Special,2016,FALSE,HBO
66,the kennedy center honors,Directing for a Variety Special,2016,FALSE,CBS
67,comedians in cars getting coffee,Variety Talk Series,2016,FALSE,Netflix
68,the late late show with james corden,Variety Talk Series,2016,FALSE,CBS
69,jimmy kimmel live!,Variety Talk Series,2016,FALSE,ABC
70,last week tonight with john oliver,Variety Talk Series,2016,TRUE,HBO
71,real time with bill maher,Variety Talk Series,2016,FALSE,HBO
72,the tonight show starring jimmy fallon,Variety Talk Series,2016,FALSE,NBC
73,amy schumer: live at the apollo,Writing for a Variety Special,2016,FALSE,HBO
74,john mulaney: the comeback kid,Writing for a Variety Special,2016,FALSE,
75,patton oswalt: talking for clapping,Writing for a Variety Special,2016,TRUE,Netflix
76,tig notaro: boyish girl interrupted,Writing for a Variety Special,2016,FALSE,HBO
77,triumph’s election special 2016,Writing for a Variety Special,2016,FALSE,Hulu
78,american crime,Limited Series,2016,FALSE,ABC
79,fargo,Limited Series,2016,FALSE,FX
80,the night manager,Limited Series,2016,FALSE,AMC
81,the people v. o.j. simpson: american crime story,Limited Series,2016,TRUE,FX
82,roots,Limited Series,2016,FALSE,A&E
83,a very murray christmas,TV Movie,2016,FALSE,Netflix
84,all the way,TV Movie,2016,FALSE,HBO
85,confirmation,TV Movie,2016,FALSE,HBO
86,luther,TV Movie,2016,FALSE,BBC
87,sherlock: the abominable bride,TV Movie,2016,TRUE,
88,all the way,"Lead Actor, TV Movie/Limited Series",2016,FALSE,HBO
89,sherlock: the abominable bride,"Lead Actor, TV Movie/Limited Series",2016,FALSE,
90,luther,"Lead Actor, TV Movie/Limited Series",2016,FALSE,BBC
91,the people v. o.j. simpson: american crime story,"Lead Actor, TV Movie/Limited Series",2016,FALSE,FX
92,the night manager,"Lead Actor, TV Movie/Limited Series",2016,FALSE,AMC
93,the people v. o.j. simpson: american crime story,"Lead Actor, TV Movie/Limited Series",2016,FALSE,FX
94,fargo,"Lead Actress, TV Movie/Limited Series",2016,FALSE,FX
95,american crime,"Lead Actress, TV Movie/Limited Series",2016,FALSE,ABC
96,lady day at emerson’s bar and grill,"Lead Actress, TV Movie/Limited Series",2016,FALSE,HBO
97,american crime,"Lead Actress, TV Movie/Limited Series",2016,FALSE,ABC
98,the people v. o.j. simpson: american crime story,"Lead Actress, TV Movie/Limited Series",2016,FALSE,FX
99,confirmation,"Lead Actress, TV Movie/Limited Series",2016,FALSE,HBO
100,the people v. o.j. simpson: american crime story,"Supporting Actor, TV Movie/Limited Series",2016,FALSE,FX
101,the night manager,"Supporting Actor, TV Movie/Limited Series",2016,FALSE,AMC
102,fargo,"Supporting Actor, TV Movie/Limited Series",2016,FALSE,FX
103,the people v. o.j. simpson: american crime story,"Supporting Actor, TV Movie/Limited Series",2016,FALSE,FX
104,the people v. o.j. simpson: american crime story,"Supporting Actor, TV Movie/Limited Series",2016,FALSE,FX
105,fargo,"Supporting Actor, TV Movie/Limited Series",2016,FALSE,FX
106,all the way,Directing for a TV Movie/Limited Series,2016,FALSE,HBO
107,fargo,Directing for a TV Movie/Limited Series,2016,FALSE,FX
108,the night manager,Directing for a TV Movie/Limited Series,2016,FALSE,AMC
109,the people v. o.j. simpson: american crime story,Directing for a TV Movie/Limited Series,2016,FALSE,FX
110,the people v. o.j. simpson: american crime story,Directing for a TV Movie/Limited Series,2016,FALSE,FX
111,the people v. o.j. simpson: american crime story,Directing for a TV Movie/Limited Series,2016,FALSE,FX
112,american horror story: hotel,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,
113,the night manager,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,AMC
114,american crime,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,ABC
115,all the way,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,HBO
116,american horror story: hotel,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,
117,fargo,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,FX
118,fargo,Writing for a TV Movie/Limited Series,2016,FALSE,FX
119,fargo,Writing for a TV Movie/Limited Series,2016,FALSE,FX
120,the night manager,Writing for a TV Movie/Limited Series,2016,FALSE,AMC
121,the people v. o.j. simpson: american crime story,Writing for a TV Movie/Limited Series,2016,FALSE,FX
122,the people v. o.j. simpson: american crime story,Writing for a TV Movie/Limited Series,2016,FALSE,FX
123,the people v. o.j. simpson: american crime story,Writing for a TV Movie/Limited Series,2016,FALSE,FX
124,the amazing race,Reality Competition Series,2016,FALSE,CBS
125,american ninja warrior,Reality Competition Series,2016,FALSE,NBC
126,dancing with the stars,Reality Competition Series,2016,FALSE,ABC
127,project runway,Reality Competition Series,2016,FALSE,Lifetime
128,top chef,Reality Competition Series,2016,FALSE,Bravo
129,the voice,Reality Competition Series,2016,TRUE,NBC
130,black-ish,"Lead Actor, Comedy",2016,FALSE,ABC
131,master of none,"Lead Actor, Comedy",2016,FALSE,Netflix
132,the last man on earth,"Lead Actor, Comedy",2016,FALSE,Fox
133,shameless,"Lead Actor, Comedy",2016,FALSE,Showtime
134,silicon valley,"Lead Actor, Comedy",2016,FALSE,HBO
135,transparent,"Lead Actor, Comedy",2016,FALSE,Amazon Studios
136,unbreakable kimmy schmidt,"Lead Actress, Comedy",2016,FALSE,Netflix
137,veep,"Lead Actress, Comedy",2016,FALSE,HBO
138,getting on,"Lead Actress, Comedy",2016,FALSE,HBO
139,black-ish,"Lead Actress, Comedy",2016,FALSE,ABC
140,inside amy schumer,"Lead Actress, Comedy",2016,FALSE,Comedy Central
141,grace and frankie,"Lead Actress, Comedy",2016,FALSE,Netflix
142,master of none,Directing for a Comedy Series,2016,FALSE,Netflix
143,silicon valley,Directing for a Comedy Series,2016,FALSE,HBO
144,silicon valley,Directing for a Comedy Series,2016,FALSE,HBO
145,transparent,Directing for a Comedy Series,2016,FALSE,Amazon Studios
146,veep,Directing for a Comedy Series,2016,FALSE,HBO
147,veep,Directing for a Comedy Series,2016,FALSE,HBO
148,veep,Directing for a Comedy Series,2016,FALSE,HBO
149,veep,"Supporting Actress, Comedy",2016,FALSE,HBO
150,transparent,"Supporting Actress, Comedy",2016,FALSE,Amazon Studios
151,mom,"Supporting Actress, Comedy",2016,FALSE,CBS
152,transparent,"Supporting Actress, Comedy",2016,FALSE,Amazon Studios
153,saturday night live,"Supporting Actress, Comedy",2016,FALSE,NBC
154,getting on,"Supporting Actress, Comedy",2016,FALSE,HBO
155,catastrophe,Writing for a Comedy Series,2016,FALSE,Amazon Studios
157,master of none,Writing for a Comedy Series,2016,FALSE,Netflix
158,silicon valley,Writing for a Comedy Series,2016,FALSE,HBO
159,silicon valley,Writing for a Comedy Series,2016,FALSE,HBO
160,veep,Writing for a Comedy Series,2016,FALSE,HBO
161,veep,Writing for a Comedy Series,2016,FALSE,HBO
162,baskets,"Supporting Actor, Comedy",2016,FALSE,FX
163,brooklyn nine-nine,"Supporting Actor, Comedy",2016,FALSE,NBC
164,unbreakable kimmy schmidt,"Supporting Actor, Comedy",2016,FALSE,Netflix
165,modern family,"Supporting Actor, Comedy",2016,FALSE,ABC
166,veep,"Supporting Actor, Comedy",2016,FALSE,HBO
167,key & peele,"Supporting Actor, Comedy",2016,FALSE,Comedy Central
168,veep,"Supporting Actor, Comedy",2016,FALSE,HBO
0,better call saul,Drama Series,2017,FALSE,Netflix
1,the crown,Drama Series,2017,FALSE,Netflix
2,the handmaid’s tale,Drama Series,2017,TRUE,
3,house of cards,Drama Series,2017,FALSE,Netflix
4,stranger things,Drama Series,2017,FALSE,Netflix
5,this is us,Drama Series,2017,FALSE,ABC
6,westworld,Drama Series,2017,FALSE,HBO
7,how to get away with murder,"Lead Actress, Drama",2017,FALSE,ABC
8,the crown,"Lead Actress, Drama",2017,FALSE,Netflix
9,the handmaid’s tale,"Lead Actress, Drama",2017,TRUE,
10,the americans,"Lead Actress, Drama",2017,FALSE,FX
11,westworld,"Lead Actress, Drama",2017,FALSE,HBO
12,house of cards,"Lead Actress, Drama",2017,FALSE,Netflix
13,this is us,"Lead Actor, Drama",2017,TRUE,ABC
14,westworld,"Lead Actor, Drama",2017,FALSE,HBO
15,better call saul,"Lead Actor, Drama",2017,FALSE,Netflix
16,the americans,"Lead Actor, Drama",2017,FALSE,FX
17,ray donovan,"Lead Actor, Drama",2017,FALSE,Showtime
18,house of cards,"Lead Actor, Drama",2017,FALSE,Netflix
19,this is us,"Lead Actor, Drama",2017,FALSE,ABC
20,big little lies,Limited Series,2017,FALSE,HBO
21,fargo,Limited Series,2017,FALSE,FX
22,feud: bette and joan,Limited Series,2017,FALSE,FX
23,genius,Limited Series,2017,FALSE,National Geographic
24,the night of,Limited Series,2017,FALSE,HBO
25,black mirror:,TV Movie,2017,TRUE,
26,dolly parton’s christmas of many colors,TV Movie,2017,FALSE,NBC
27,the immortal life of henrietta lacks,TV Movie,2017,FALSE,HBO
28,sherlock:,TV Movie,2017,FALSE,
29,the wizard of lies,TV Movie,2017,FALSE,HBO
30,fargo,"Lead Actress, TV Movie/Limited Series",2017,FALSE,FX
31,american crime,"Lead Actress, TV Movie/Limited Series",2017,FALSE,ABC
32,big little lies,"Lead Actress, TV Movie/Limited Series",2017,TRUE,HBO
33,feud: bette and joan,"Lead Actress, TV Movie/Limited Series",2017,FALSE,FX
34,feud: bette and joan,"Lead Actress, TV Movie/Limited Series",2017,FALSE,FX
35,big little lies,"Lead Actress, TV Movie/Limited Series",2017,FALSE,HBO
36,the night of,"Lead Actor, TV Movie/Limited Series",2017,TRUE,HBO
37,sherlock:,"Lead Actor, TV Movie/Limited Series",2017,FALSE,
38,the wizard of lies,"Lead Actor, TV Movie/Limited Series",2017,FALSE,HBO
39,fargo,"Lead Actor, TV Movie/Limited Series",2017,FALSE,FX
40,genius,"Lead Actor, TV Movie/Limited Series",2017,FALSE,National Geographic
41,the night of,"Lead Actor, TV Movie/Limited Series",2017,FALSE,HBO
42,atlanta,Comedy Series,2017,FALSE,FX
43,black-ish,Comedy Series,2017,FALSE,ABC
44,master of none,Comedy Series,2017,FALSE,Netflix
45,modern family,Comedy Series,2017,FALSE,ABC
46,silicon valley,Comedy Series,2017,FALSE,HBO
47,unbreakable kimmy schmidt,Comedy Series,2017,FALSE,Netflix
48,veep,Comedy Series,2017,TRUE,HBO
49,better things,"Lead Actress, Comedy",2017,FALSE,FX
50,grace and frankie,"Lead Actress, Comedy",2017,FALSE,Netflix
51,mom,"Lead Actress, Comedy",2017,FALSE,CBS
52,unbreakable kimmy schmidt,"Lead Actress, Comedy",2017,FALSE,Netflix
53,veep,"Lead Actress, Comedy",2017,TRUE,HBO
54,black-ish,"Lead Actress, Comedy",2017,FALSE,ABC
55,grace and frankie,"Lead Actress, Comedy",2017,FALSE,Netflix
56,black-ish,"Lead Actor, Comedy",2017,FALSE,ABC
57,master of none,"Lead Actor, Comedy",2017,FALSE,Netflix
58,baskets,"Lead Actor, Comedy",2017,FALSE,FX
59,atlanta,"Lead Actor, Comedy",2017,TRUE,FX
60,shameless,"Lead Actor, Comedy",2017,FALSE,Showtime
61,transparent,"Lead Actor, Comedy",2017,FALSE,Amazon Studios
62,full frontal with samantha bee,Variety Talk Series,2017,FALSE,TBS
63,jimmy kimmel live!,Variety Talk Series,2017,FALSE,ABC
64,last week tonight with john oliver,Variety Talk Series,2017,TRUE,HBO
65,the late late show with james corden,Variety Talk Series,2017,FALSE,CBS
66,the late show with stephen colbert,Variety Talk Series,2017,FALSE,CBS
67,real time with bill maher,Variety Talk Series,2017,FALSE,HBO
68,drunk history,Directing for a Variety Special,2017,FALSE,Comedy Central
69,jimmy kimmel live!,Directing for a Variety Special,2017,FALSE,ABC
70,last week tonight with john oliver,Directing for a Variety Special,2017,FALSE,HBO
71,the late show with stephen colbert,Directing for a Variety Special,2017,FALSE,CBS
72,saturday night live,Directing for a Variety Special,2017,TRUE,NBC
73,big little lies,Writing for a TV Movie/Limited Series,2017,FALSE,HBO
74,black mirror: san junipero,Writing for a TV Movie/Limited Series,2017,TRUE,
75,fargo,Writing for a TV Movie/Limited Series,2017,FALSE,FX
76,feud: bette and joan,Writing for a TV Movie/Limited Series,2017,FALSE,FX
77,feud: bette and joan,Writing for a TV Movie/Limited Series,2017,FALSE,FX
78,the night of,Writing for a TV Movie/Limited Series,2017,FALSE,HBO
79,better call saul,Directing for a Drama,2017,FALSE,Netflix
80,the crown,Directing for a Drama,2017,FALSE,Netflix
81,the handmaid’s tale,Directing for a Drama,2017,TRUE,
82,the handmaid’s tale,Directing for a Drama,2017,FALSE,
83,homeland,Directing for a Drama,2017,FALSE,Showtime
84,stranger things,Directing for a Drama,2017,FALSE,Netflix
85,westworld,Directing for a Drama,2017,FALSE,HBO
86,the amazing race,Reality Competition Series,2017,FALSE,CBS
87,american ninja warrior,Reality Competition Series,2017,FALSE,NBC
88,project runway,Reality Competition Series,2017,FALSE,Lifetime
89,rupaul’s drag race,Reality Competition Series,2017,FALSE,
90,top chef,Reality Competition Series,2017,FALSE,Bravo
91,the voice,Reality Competition Series,2017,TRUE,NBC
92,atlanta,Writing for a Comedy Series,2017,FALSE,FX
93,atlanta,Writing for a Comedy Series,2017,FALSE,FX
94,master of none,Writing for a Comedy Series,2017,TRUE,Netflix
95,silicon valley,Writing for a Comedy Series,2017,FALSE,HBO
96,veep,Writing for a Comedy Series,2017,FALSE,HBO
97,veep,Writing for a Comedy Series,2017,FALSE,HBO
98,orange is the new black,"Supporting Actress, Drama",2017,FALSE,Netflix
99,stranger things,"Supporting Actress, Drama",2017,FALSE,Netflix
100,the handmaid’s tale,"Supporting Actress, Drama",2017,FALSE,
101,this is us,"Supporting Actress, Drama",2017,FALSE,ABC
102,westworld,"Supporting Actress, Drama",2017,FALSE,HBO
103,the handmaid’s tale,"Supporting Actress, Drama",2017,TRUE,
104,full frontal with samantha bee,Writing for a Variety Special,2017,FALSE,TBS
105,last week tonight with john oliver,Writing for a Variety Special,2017,TRUE,HBO
106,late night with seth meyers,Writing for a Variety Special,2017,FALSE,NBC
107,the late show with stephen colbert,Writing for a Variety Special,2017,FALSE,CBS
108,saturday night live,Writing for a Variety Special,2017,FALSE,NBC
109,the night of,"Supporting Actor, TV Movie/Limited Series",2017,FALSE,HBO
110,feud: bette and joan,"Supporting Actor, TV Movie/Limited Series",2017,FALSE,FX
111,big little lies,"Supporting Actor, TV Movie/Limited Series",2017,TRUE,HBO
112,fargo,"Supporting Actor, TV Movie/Limited Series",2017,FALSE,FX
113,feud: bette and joan,"Supporting Actor, TV Movie/Limited Series",2017,FALSE,FX
114,the night of,"Supporting Actor, TV Movie/Limited Series",2017,FALSE,HBO
115,big little lies,Directing for a TV Movie/Limited Series,2017,TRUE,HBO
116,fargo,Directing for a TV Movie/Limited Series,2017,FALSE,FX
117,feud: bette and joan,Directing for a TV Movie/Limited Series,2017,FALSE,FX
118,genius,Directing for a TV Movie/Limited Series,2017,FALSE,National Geographic
119,the night of,Directing for a TV Movie/Limited Series,2017,FALSE,HBO
120,the night of,Directing for a TV Movie/Limited Series,2017,FALSE,HBO
121,baskets,"Supporting Actor, Comedy",2017,FALSE,FX
122,saturday night live,"Supporting Actor, Comedy",2017,TRUE,NBC
123,unbreakable kimmy schmidt,"Supporting Actor, Comedy",2017,FALSE,Netflix
124,modern family,"Supporting Actor, Comedy",2017,FALSE,ABC
125,veep,"Supporting Actor, Comedy",2017,FALSE,HBO
126,veep,"Supporting Actor, Comedy",2017,FALSE,HBO
127,the americans,Writing for a Drama Series,2017,FALSE,FX
128,better call saul,Writing for a Drama Series,2017,FALSE,Netflix
129,the crown,Writing for a Drama Series,2017,FALSE,Netflix
130,the handmaid’s tale,Writing for a Drama Series,2017,TRUE,
131,stranger things,Writing for a Drama Series,2017,FALSE,Netflix
132,westworld,Writing for a Drama Series,2017,FALSE,HBO
133,billy on the street,Variety Sketch Series,2017,FALSE,truTV
134,documentary now!,Variety Sketch Series,2017,FALSE,IFC
135,drunk history,Variety Sketch Series,2017,FALSE,Comedy Central
136,portlandia,Variety Sketch Series,2017,FALSE,IFC
137,saturday night live,Variety Sketch Series,2017,TRUE,NBC
138,tracy ullman’s show,Variety Sketch Series,2017,FALSE,
139,atlanta,Directing for a Comedy Series,2017,TRUE,FX
140,silicon valley,Directing for a Comedy Series,2017,FALSE,HBO
141,veep,Directing for a Comedy Series,2017,FALSE,HBO
142,veep,Directing for a Comedy Series,2017,FALSE,HBO
143,veep,Directing for a Comedy Series,2017,FALSE,HBO
144,feud: bette and joan,"Supporting Actress, TV Movie/Limited Series",2017,FALSE,FX
145,big little lies,"Supporting Actress, TV Movie/Limited Series",2017,TRUE,HBO
146,feud: bette and joan,"Supporting Actress, TV Movie/Limited Series",2017,FALSE,FX
147,american crime,"Supporting Actress, TV Movie/Limited Series",2017,FALSE,ABC
148,the wizard of lies,"Supporting Actress, TV Movie/Limited Series",2017,FALSE,HBO
149,big little lies,"Supporting Actress, TV Movie/Limited Series",2017,FALSE,HBO
150,saturday night live,"Supporting Actress, Comedy",2017,FALSE,NBC
151,veep,"Supporting Actress, Comedy",2017,FALSE,HBO
152,transparent,"Supporting Actress, Comedy",2017,FALSE,Amazon Studios
153,saturday night live,"Supporting Actress, Comedy",2017,FALSE,NBC
154,transparent,"Supporting Actress, Comedy",2017,FALSE,Amazon Studios
155,saturday night live,"Supporting Actress, Comedy",2017,TRUE,NBC
156,better call saul,"Supporting Actor, Drama",2017,FALSE,Netflix
157,this is us,"Supporting Actor, Drama",2017,FALSE,ABC
158,stranger things,"Supporting Actor, Drama",2017,FALSE,Netflix
159,house of cards,"Supporting Actor, Drama",2017,FALSE,Netflix
160,the crown,"Supporting Actor, Drama",2017,TRUE,Netflix
161,homeland,"Supporting Actor, Drama",2017,FALSE,Showtime
162,westworld,"Supporting Actor, Drama",2017,FALSE,HBO
0,the americans,Drama Series,2018,FALSE,FX
1,the crown,Drama Series,2018,FALSE,Netflix
2,game of thrones,Drama Series,2018,TRUE,HBO
3,the handmaid’s tale,Drama Series,2018,FALSE,
4,stranger things,Drama Series,2018,FALSE,Netflix
5,this is us,Drama Series,2018,FALSE,ABC
6,estworld,Drama Series,2018,FALSE,
7,atlanta,Comedy Series,2018,FALSE,FX
8,barry,Comedy Series,2018,FALSE,HBO
9,black-ish,Comedy Series,2018,FALSE,ABC
10,curb your enthusiasm,Comedy Series,2018,FALSE,HBO
11,glow,Comedy Series,2018,FALSE,Netflix
12,the marvelous mrs. maisel,Comedy Series,2018,TRUE,
13,silicon valley,Comedy Series,2018,FALSE,HBO
14,unbreakable kimmy schmidt,Comedy Series,2018,FALSE,Netflix
15,the alienist,Limited Series,2018,FALSE,TNT
16,the assassination of gianni versace: american crime story,Limited Series,2018,TRUE,
17,genius: picasso,Limited Series,2018,FALSE,
18,godless,Limited Series,2018,FALSE,Netflix
19,patrick melrose,Limited Series,2018,FALSE,Showtime
20,the daily show with trevor noah,Variety Talk Series,2018,FALSE,Comedy Central
21,full frontal with samantha bee,Variety Talk Series,2018,FALSE,TBS
22,jimmy kimmel live!,Variety Talk Series,2018,FALSE,ABC
23,last week tonight with john oliver,Variety Talk Series,2018,TRUE,HBO
24,the late late show with james corden,Variety Talk Series,2018,FALSE,CBS
25,the late show with stephen colbert,Variety Talk Series,2018,FALSE,CBS
26,at home with amy sedaris,Variety Sketch Series,2018,FALSE,truTV
27,drunk history,Variety Sketch Series,2018,FALSE,Comedy Central
28,love you america,Variety Sketch Series,2018,FALSE,Hulu
29,portlandia,Variety Sketch Series,2018,FALSE,IFC
30,saturday night live,Variety Sketch Series,2018,TRUE,NBC
31,tracey ullman’s show,Variety Sketch Series,2018,FALSE,
32,the amazing race,Reality Competition Series,2018,FALSE,CBS
33,american ninja warrior,Reality Competition Series,2018,FALSE,NBC
34,project runway,Reality Competition Series,2018,FALSE,Lifetime
35,upaul’s drag race,Reality Competition Series,2018,TRUE,
36,top chef,Reality Competition Series,2018,FALSE,Bravo
37,the voice,Reality Competition Series,2018,FALSE,NBC
38,the crown,"Lead Actress, Drama",2018,TRUE,Netflix
39,orphan black,"Lead Actress, Drama",2018,FALSE,BBC
40,the handmaid’s tale,"Lead Actress, Drama",2018,FALSE,
41,killing eve,"Lead Actress, Drama",2018,FALSE,BBC
42,the americans,"Lead Actress, Drama",2018,FALSE,FX
43,estworld,"Lead Actress, Drama",2018,FALSE,
44,ozark,"Lead Actor, Drama",2018,FALSE,Netflix
45,this is us,"Lead Actor, Drama",2018,FALSE,ABC
46,estworld,"Lead Actor, Drama",2018,FALSE,
47,the americans,"Lead Actor, Drama",2018,TRUE,FX
48,this is us,"Lead Actor, Drama",2018,FALSE,ABC
49,estworld,"Lead Actor, Drama",2018,FALSE,
50,game of thrones,Directing for a Drama,2018,FALSE,HBO
51,game of thrones,Directing for a Drama,2018,FALSE,HBO
52,ozark,Directing for a Drama,2018,FALSE,Netflix
53,ozark,Directing for a Drama,2018,FALSE,Netflix
54,stranger things,Directing for a Drama,2018,FALSE,Netflix
55,the crown,Directing for a Drama,2018,TRUE,Netflix
56,the handmaid’s tale,Directing for a Drama,2018,FALSE,
57,game of thrones,Writing for a Drama Series,2018,FALSE,HBO
58,killing eve,Writing for a Drama Series,2018,FALSE,BBC
59,stranger things,Writing for a Drama Series,2018,FALSE,Netflix
60,the americans,Writing for a Drama Series,2018,TRUE,FX
61,the crown,Writing for a Drama Series,2018,FALSE,Netflix
62,the handmaid’s tale,Writing for a Drama Series,2018,FALSE,
63,the handmaid’s tale,"Supporting Actress, Drama",2018,FALSE,
64,stranger things,"Supporting Actress, Drama",2018,FALSE,Netflix
65,the handmaid’s tale,"Supporting Actress, Drama",2018,FALSE,
66,game of thrones,"Supporting Actress, Drama",2018,FALSE,HBO
67,the crown,"Supporting Actress, Drama",2018,FALSE,Netflix
68,estworld,"Supporting Actress, Drama",2018,TRUE,
69,the handmaid’s tale,"Supporting Actress, Drama",2018,FALSE,
70,game of thrones,"Supporting Actor, Drama",2018,FALSE,HBO
71,game of thrones,"Supporting Actor, Drama",2018,TRUE,HBO
72,the handmaid’s tale,"Supporting Actor, Drama",2018,FALSE,
73,stranger things,"Supporting Actor, Drama",2018,FALSE,Netflix
74,homeland,"Supporting Actor, Drama",2018,FALSE,Showtime
75,the crown,"Supporting Actor, Drama",2018,FALSE,Netflix
76,dave chappelle: equanimity,Directing for a Variety Special,2018,FALSE,Netflix
77,jerry seinfeld: jerry before seinfeld,Directing for a Variety Special,2018,FALSE,Netflix
78,steve martin & martin short: an evening you will forget for the rest of your life,Directing for a Variety Special,2018,FALSE,
79,super bowl lii halftime show starring justin timberlake,Directing for a Variety Special,2018,FALSE,
80,the oscars,Directing for a Variety Special,2018,TRUE,ABC
81,full frontal with samantha bee presents: the great american,Writing for a Variety Special,2018,FALSE,
82,john mulaney: kid gorgeous at radio city,Writing for a Variety Special,2018,TRUE,
83,michelle wolf: nice lady,Writing for a Variety Special,2018,FALSE,HBO
84,patton oswalt: annihilation,Writing for a Variety Special,2018,FALSE,Netflix
85,steve martin & martin short: an evening you will forget for the rest of your life,Writing for a Variety Special,2018,FALSE,
86,genius: picasso,"Lead Actor, TV Movie/Limited Series",2018,FALSE,
87,the assassination of gianni versace: american crime story,"Lead Actor, TV Movie/Limited Series",2018,TRUE,
88,patrick melrose,"Lead Actor, TV Movie/Limited Series",2018,FALSE,Showtime
89,the looming tower,"Lead Actor, TV Movie/Limited Series",2018,FALSE,Hulu
90,jesus christ superstar live in concert,"Lead Actor, TV Movie/Limited Series",2018,FALSE,NBC
91,u.s.s. callister (black mirror),"Lead Actor, TV Movie/Limited Series",2018,FALSE,
92,the sinner,"Lead Actress, TV Movie/Limited Series",2018,FALSE,USA
93,the tale,"Lead Actress, TV Movie/Limited Series",2018,FALSE,HBO
94,godless,"Lead Actress, TV Movie/Limited Series",2018,FALSE,Netflix
95,law & order true crime: the menendez murders,"Lead Actress, TV Movie/Limited Series",2018,FALSE,NBC
96,seven seconds,"Lead Actress, TV Movie/Limited Series",2018,TRUE,Netflix
97,american horror story: cult,"Lead Actress, TV Movie/Limited Series",2018,FALSE,
